Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brasil,1422660383,1488514762,1671349991,2814206808,3654832029,5484131391,6614832290,8133104105,7949267875,5689510650,6990801567,6187822527,4848035385,4666358069,5605073068,6335080236,8140968044,10498013507,13273278599,11379790026,14433639310,17318657392,16456999455,15949074201,13882799797,10098822690,9039636902,9325917874,11291469611,10371898043,7941610266,11761549086,12637879351,11854864083
Resto UE 28,3505596968,4280185365,4042868220,3909085513,4076076173,4615987824,4815429855,4210879095,4820043118,4804012036,4780785493,4707078062,5289397504,6108554144,6346414816,7106861600,8293555712,10009586880,13437365696,10370112896,11300414848,14044863360,11615800384,9919768128,9970120832,8381820096,8617628224,8783706176,8412971264,8075856800,6665805440,9867612608,10856563328,6848281088
USA,1665417219,1210868631,1325491941,1264381302,1723969640,1770313285,1945407126,2179476141,2191292495,2631028908,3103283620,2824281602,2891999537,3364047753,3722665631,4493251984,4025373222,4153651225,5095686475,3474265714,3544963434,4247855716,3979049580,4106920633,4018186347,3394180342,4427963131,4477933831,4231915486,4059804564,3267543609,4917925387,6616481902,5581995106
China,300672934,321589312,234429542,319081946,429489389,574701028,823372951,1064218141,762498136,581705570,884889265,1224271281,1176767699,2580814286,2736166251,3335563378,3646003641,5363032847,6562394608,3948490873,6116740905,6355906931,5378584052,5837336315,4791945742,5386717323,4668838893,4606489761,4481847659,7048862521,5396870831,6293570212,8014635187,5265798661
Chile,462304271,487671579,580921604,591891937,998848661,1475133094,1765847667,1931640563,1857055387,1867156881,2674327249,2849865208,2958988199,3537950489,3835202712,4500430675,4404620488,4181063915,4713564226,4388210174,4495137300,4775407108,5053770209,3825134922,2793849196,2405701931,2306922488,2647980835,3038514406,3053622427,2890390416,4176337342,5021877334,4945301502
Resto Mundo,2009627288,1046296291,788971608,603241588,495229982,1063243279,1328946770,1829210868,1678219864,1316477280,1539267813,1557117554,1465761317,1644697567,1719907029,2115963589,3149175480,3100760686,5862137073,3780826658,5014600279,6106878754,6034104879,6662507266,5958739472,4140755926,4029424637,4596632408,6031074185,6098613380,5601525936,7636531248,8131887341,4875981983
Peru,186846198,207590409,235779461,222246216,288602475,275577822,254211573,306495180,325869536,213388374,295272066,394134556,444760870,415114712,499818880,599583422.4,728912986.2,958019826.8,1312615455,794704915.4,1131982436,1793980268,1924853112,1420998193,1113946065,720480567.1,821401825.1,1073299031,1169516300,1586590302,1377828586,1995215618,2438979397,2538781169
Medio Oriente,678834048,529667986,507654597,416379395,402401289,737152523,974594192,1090802270,869989856,625489397,830386502,1041805666,96732255,146480016,249089299,336452164.1,508861800.8,467019041.6,320144428.1,294923773,279063845.6,313703582.7,324286229.8,357590395.8,186184363,162882504.8,2090583321,2344763944,2709019884,3125446836,2977638055,4220701413,4353852769,2531516806
India,37977831,39663759,20560470,37942448,51767946,153161883,183329695,209232332,347313747,434498842,437132686,435176485,444505904,558493095,567476858,739135840,908613318.5,868679624,829748801.4,648330821.9,1321491008,968772915.3,1186810278,1089096312,1810469121,2003199280,2202687502,2081099277,1600405104,2157110626,2507528443,4293273360,4542503306,2450283582
Vietnam,17568,0,996495,23985,0,8402922,1833052,6712578,11352520,31709313,26737329,60344272,71820546,137123099,146285017,197308303.5,204580858.9,330842504.7,328141933,547244026.2,655729780.7,680394779.6,800855877.1,1185116582,1550426641,1801395042,2546175760,2271245922,2100964422,2805806949,2850893224,3220918651,3222762261,2093184114
Uruguay,262565153,310779486,383629745,511959792,650382997,663340361,726257273,844038995,850132360,819632222,824221153,746215825,545297262,544686756,683671600,864425673.9,1198717901,1206586293,1800417329,1646293695,1588046834,2052926291,1954386832,1845330091,1649573094,1331072400,1161912073,1223602801,1243259759,1149386348,1063170554,1356499618,1562292292,1737355807
Resto Asia Pacifico,194249501,131357503,132948568,118309055,218861824,426731142,412159664,387565958,335943698,282315161,289824982,425013119,386857703,468441388,526788049,741266129.2,865054104,1028877485,1085498143,1106674314,1301757292,1651211737,1358335943,1515588806,1764858025,1288873986,1433690493,1182569217,1335893466,1319075800,1237648719,1878978053,2148319675,1710545201
Resto America Latina,288233985,268090245,194363397,229775093,224367392,297936177,351232109,343355363,331265697,303275212,339558537,393504334,352810818,455769870,715281186,831723123.2,1046591698,1168485445,1091797234,856035420.5,820449170.8,994433728.6,1141987555,1200100480,970973894.5,720927355.2,880049607.9,1020253670,1079981939,1225107588,1026042280,1453299127,1935821185,1632481544
Paises Bajos,1403765676,1456612609,1353563273,1352087874,1221280057,1198248054,1243079529,896589533,1109145614,1022020490,767597276,812558665,1046030059,1101149495,1289534598,1431616289,1562456390,1841329242,3160480507,2454544915,2435802941,2564312927,2214410373,1918375898,1580018532,1322712505,1187853072,1438388622,1725677324,1806271015,1593313085,2984086057,3566770755,1556292220
