Pais,"January , 2018","February , 2018","March , 2018","April , 2018","May , 2018","June , 2018","July , 2018","August , 2018","September , 2018","October , 2018","November , 2018","December , 2018","January , 2019","February , 2019","March , 2019","April , 2019","May , 2019","June , 2019","July , 2019","August , 2019","September , 2019","October , 2019","November , 2019","December , 2019","January , 2020","February , 2020","March , 2020","April , 2020","May , 2020","June , 2020","July , 2020","August , 2020","September , 2020","October , 2020","November , 2020","December , 2020","January , 2021","February , 2021","March , 2021","April , 2021","May , 2021","June , 2021","July , 2021","August , 2021","September , 2021","October , 2021","November , 2021","December , 2021","January , 2022","February , 2022","March , 2022","April , 2022","May , 2022","June , 2022","July , 2022","August , 2022","September , 2022","October , 2022","November , 2022","December , 2022","January , 2023","February , 2023","March , 2023","April , 2023","May , 2023","June , 2023","July , 2023","August , 2023","September , 2023","October , 2023","November , 2023","December , 2023"
Brasil,768751886.2,769282529,1041197207,916379578.8,838665018.6,964255230.1,989150657.2,1072302421,923199484.1,956933202.6,1043245824,1008106572,699843977.8,908045613.7,904494709.7,906888677.8,820501031.8,902942635.4,854522728.9,852202759,810592838.1,928983971.9,931888589.9,850990509.3,697158380,827145635.6,766512172.5,393702748.9,383295378.4,463840501.8,554817395.4,638002842.8,770307756.8,744343653.7,865669685.3,836814114.6,816322552.3,773904926.3,828591884.6,727313984.6,837016202,971837822.3,937565565.6,1191408136,1299384367,1114102780,1197103839,1066997027,674518957.9,788897830.8,986129604.9,1101624929,1035918889,1225467189,1135987678,1177016070,1213463381,1116809192,1122942098,1059103531,717617587.4,885085469.9,1132969657,1086770950,993108797.3,908409751.6,1011888212,997809691.7,1176309334,1049027061,861992443.1,1033875128
Paraguay,94423639.81,83983247.06,116706152.6,88448766.88,106433580.7,101363431.1,123094706.3,104640934.5,107842591.5,112793606.6,115049465.6,98392540.4,74106306.82,86343247.25,80264881.77,78501322.73,82752878.61,82957945.5,87949048.72,85832861.3,82947736.33,80565678.76,98651572.96,95582249.28,71428782.34,72270908.97,63020216.34,42902902.19,61046075.41,69221171.28,81104908.35,74887758.78,76889620.41,84266667.33,94368367.43,84585647.8,68463042.17,82170189.91,96983052.97,74554588.28,86265773.55,97968777.03,177923055.6,114147572.2,137818237.9,108384454.9,144773859.7,102956679.2,86321242.33,88020409.26,98192833.09,126812152.5,91178263.1,122187180.2,218624174.5,95474876.28,93649355.69,107357107.7,92827856.42,101623244.5,78188686.85,82367038.54,103416334,96518187.76,116120588.6,94640654.14,108377536.5,114355730.4,112009406.7,106742828.4,100561376,91629811.16
Uruguay,93760580.34,82874649.35,107532051.2,99656993.12,100214156.5,123009834.8,117080233.7,119267603.5,107055550.2,108736745.7,98424043.28,85647317.75,66383910.03,83548133.4,82138181.61,89976603.99,95207900.43,81920957.89,95983178.58,173212456.1,95887633.97,100380465,87511254.64,97235672.41,75720724.96,75185732.25,76968602.19,81089754.42,88348611.8,74114631.94,88992773.19,95988114.38,111438628.7,100552693.5,95109603.58,99660683.19,68965783.12,81258098.51,104791861.7,103781442.1,99340019.35,109890708.6,124782512.5,133464057.9,146828942,129078208.2,127856395.7,126461588.6,87396575.26,101273907.7,127537414.8,112396732.6,118032174.3,119718438.2,145475729.9,152510642.6,155824643.2,168140412.5,144783448.7,129202172.8,95569811.13,104068991.2,142746063.1,163725033.1,119446823.9,133664596,159865106,238367374.8,155135292.1,116241149.8,203752858.2,104772708.2
Venezuela,41042216.69,28334847.21,37522132.48,45539535.97,7641073.31,43312626.4,40709089.77,24990601.45,36289982.78,20177328.82,19664945.1,13767037.53,2278960.65,14161263.3,2934869.48,4592520.66,22581810.81,2785427.98,4346996.68,14665714.81,24221948.77,21507004.82,6753557.91,5326804.41,11032831.23,5205651.23,3240195.66,8183589.31,1946122.91,17551891.06,5935820.7,16948837.61,6241176.59,13584428.54,4197554.52,9884645.72,5694909.73,7201616.32,9095552.06,16806273.88,23886595.02,25001118.8,9963740.8,20914743.54,11634433.31,16250183.48,12206139.16,16502040.74,4767143.78,16730321.08,17043759.97,25828043.19,24818334.08,30116229.28,31542186.28,26374972.82,15051525.93,11385243.24,16330555.98,7351767.36,11895977.48,29700727.44,22933485.41,16259131.22,44105989.25,5997818.82,25525846.51,33566045.13,15144874.4,29676699.91,11876935.26,11324467.13
Bolivia,46522657.81,47125797.08,59426822.81,53393023.85,51614173.19,39805914.91,52504023.33,50167310.37,53446252.83,71563181.12,60883303.71,57533086.67,44900521.25,50694430.51,58360370.28,49317599.9,51271830.89,53292472.95,52669568.45,47528173.23,52206457.29,54679605.82,39859806.71,60704583.76,50691685.9,46294793,41264315.45,30286538.86,44159453.84,37021332.27,42155044.67,41500910.62,51361435.1,50676869.67,45245176.37,42519877.35,44875980.91,48105967.34,57303502.42,43693526.62,35636956.55,46453130.97,44086008.92,50378172.43,50207076.22,47003139.68,44918359.47,51567746.06,39523501.04,40867418.18,56206776.63,41900217.61,48689283.5,46095531.39,44053371.55,43624261.3,49151865.09,46364864.41,46924986.2,40054733.09,41030616.68,38442558.43,46355184.38,35486513.85,36646512.56,35694555.63,39599306.68,37461799.17,43797536.57,47143960.43,36907367.23,32988002.41
Chile,222850015,245586136.1,241016033.8,236717684.7,243323902.4,264219560.6,247006810.3,258453827,237282182.4,279120119.9,309973257.7,252964876.8,285722751.2,245868139.5,241153105.6,259690756.3,267706525.8,216318950,276060485.4,263485401.4,242499450.7,243055211.7,237063348.2,274998301.6,291528336.4,252426721.4,252868409.6,220145188.9,209873284.1,182709441.2,239855565.7,276427744.6,263978908.2,254992359.9,228689581.9,216894874,236511164.1,229343512.9,278493349.1,326896032.9,354477105.4,313228754.2,359967593.1,360234810,423103110.6,419570461,457228781.8,417282666.7,421180998.5,394971505.8,494604034,439907038.4,506229830,371244994.9,332262444.5,431489467.7,413069136.4,420247489.3,429957493.2,366712901.3,340173787.2,373269983.7,449662044.5,423937192.7,448022885.3,353418162.2,449109200.5,409464284.1,395534744.9,439652157.8,451670577.6,411386481.6
Colombia,24827823.76,47188272.21,52483116.9,56093897.03,54386904.13,67875727.13,38604817.84,50361108.13,52590008,80076614.75,60558380.34,64955591.11,51660914.7,46145852.74,57569019.42,51712370.74,55667776.93,60368051.4,128362837.6,135866924.2,113232001.1,70253007.63,74834215.55,50136313.41,39145029.54,80607286.02,51543336.85,40328653.13,32320891.63,31227543.2,51219624.51,55812991.38,52183921.28,63264294.22,67196949.86,21879962.55,27638603.12,53822869.54,49433583.3,108637314.1,61682096.1,134697652.4,175189113.5,134723785.6,123220505.7,82980847.24,83801819.39,93872806.82,64333035.13,86867474.59,84288169.1,111568611.9,96262518.76,87741345.32,152896714.9,138656260.3,182350173.2,111262934.6,151556856.9,158621256.8,146390621.5,129250902.1,116574770.3,167763977.2,75659755.75,99440631.22,125236341.2,98565095.4,86193844.05,85050427.93,66485696.98,85102223.97
Mexico,47403717.48,32722610.33,56869032.22,44892408.26,60756755.37,82514609,61530963.61,68033422.19,65716727.78,95971837.95,51381611.23,66856037,83451703.69,34296069.86,36556645.19,74613050.64,58723952.77,49629626.88,45710721.14,51519863.47,56918253.2,77206193.78,54511573.3,44342169.87,23924280.92,47315321.11,28168875.55,31925398.57,36396563.15,27659722.21,50327244.19,62323933.05,36046870.71,37081237.33,35483765.69,21297598.86,39423036.57,27260689.32,34052621.79,47118020.48,48891370.55,57767248.29,73255613.92,121274142.8,54205390.4,69535738.3,66322920.09,56147935.82,59528683.7,54359902.06,84510722.58,86669733.7,130537469,87959828.84,84630616.08,80887148.02,166700930.1,84795070.33,70804305.23,125562623.6,58950659.91,54348505.55,68739870.28,67822841.17,58919389.38,75250758.25,61740865.78,88049846.47,91092242.12,67756505.11,63404243.24,83000645.38
Peru,93054352.34,82586774.63,136306551.4,101988587.5,83544447.95,76580292.78,83029175.49,94748911.92,91843846.32,102299727,102750440.9,120783192,95380101.85,101740303.1,96441758.62,147725841.3,114526027.7,106288948.9,173582405.2,122519073.7,177328199.1,149846072.2,129623608.4,171587961.7,152394992.5,137032737.5,126832978,138647841.8,74096325.3,64642294.43,63395735.99,160921092.9,132063540.5,136340449.8,124428689.4,67031908.5,89403394.89,96556666.14,163828704.3,129434960.4,168727672.9,132047536.4,196225014,267426486.5,180903793.5,205598663.2,159673936.9,205388788.6,155384957.1,200178936.3,266286731.3,178801766.4,217883811.6,187562423.5,195588248.8,206797279.6,191667710.9,212405894.4,236384893,190036744.1,192403013.3,314418589.5,301904623.8,139064120,277734016.6,156080915.7,193469395.9,149854870.6,172539251.7,162421886.3,228643881.6,250246604.1
Ecuador,57861085.29,34573691.62,31081316.12,54540975.29,33123207.6,18636429.93,30028935.37,21500676.32,43793121.35,32728731.3,25888343.19,22775462.28,23054616.74,17810733.2,20313091.52,18381613.04,33238699.41,12714589.02,28811653.32,18135269.03,26388697.04,30658512.69,16903874.02,35203344.94,26441117.12,23122321.6,13009396.31,18976130.19,22931904.75,13737488.8,16876624.15,14792485.97,22379848.7,15037198.87,13203789.35,11714254.8,39006488.45,11706321.12,79555586.57,39660183.4,40926792.35,39480588.11,30470158.77,39467421.74,32947237.87,39539464.5,44773816.19,66674404.01,63523229.21,61043176.67,72496499,46381599.46,50304967.37,46944136.49,34805853.05,74231758.18,49205199.08,36896049.59,52424478.38,61588104.77,56261658.3,25428596.13,35057457.54,57907171.68,55995943.09,25912843.44,31152500.61,26987611.49,42254231.02,25757750.93,22300334.71,23860045.58
